First name,Last Name,Username,Password,ImageURL
hi,Kieren,testing1,testing1,URLtest
Kieren,Spittles,Kspittles,123,file:/D:/Pictures/1174762_10151900149091803_2077099073_n%20(1).jpg
q,q,q,q,file:/D:/Pictures/LiknDaTQ_400x400.jpg
a,b,c,d,file:/Users/user/Desktop/Mancala-Group5-Take2/src/sample/pepe.jpg
q,w,e,r,file:/Users/user/Desktop/Mancala-Group5-Take2/src%5Cc.jpg
>>>>>>> branch 'main' of https://github.com/TW15T3DM1ND2/Mancala-Group5-Take2.git
q,w,e,r,src\e.jpg
a,s,d,f,src\d.jpg
q,w,e,r,src\e.jpg
a,b,c,d,file:/Users/user/Desktop/Mancala-Group5-Take2/src%5Ce.jpg
q,w,e,r,file:/Users/user/Desktop/Mancala-Group5-Take2/src%5Ce.jpg
a,s,d,f,file:/Users/user/Desktop/Mancala-Group5-Take2/src%5Cc.jpg
